student_id,reading,math,pre_reading,pre_math,teacher_fem,two_teachers,mixed_grades,class_size,percent_girls,percent_native,teacher_exp,grade,school_id,classroom_id
1,0.435311287641525,1.46397304534912,0.771156907081604,0.400985449552536,0,0,0,21,60,95,35,6,16,6B
2,-1.08168268203735,-0.783650577068329,-1.07685315608978,-0.888210415840149,0,0,0,21,60,95,35,6,16,6B
3,-1.24057722091675,-0.783650577068329,-0.222010180354118,-0.114692881703377,0,0,0,24,52.1739120483398,86.9565200805664,29,6,16,6A
4,-0.49706095457077,-2.45818853378296,-0.594556272029877,-2.87836241722107,1,0,0,17,43.75,71.4285736083984,10,8,101,8B
5,-0.272443950176239,-0.627711355686188,0.533697128295898,-0.410586565732956,0,0,0,19,50,70.5882339477539,18,8,101,8C
6,-0.705242514610291,-1.64464318752289,-0.0833637043833733,-1.10156381130219,0,0,0,18,52.9411773681641,35.294116973877,5,8,170,8A
7,-1.30513417720795,-1.23787045478821,-0.64900279045105,-1.59511888027191,0,1,0,18,47.0588226318359,17.6470584869385,33,8,170,8B
8,-0.49706095457077,-0.729404509067535,-0.915185868740082,-0.90414172410965,0,0,0,18,52.9411773681641,35.294116973877,5,8,170,8A
9,-1.63932049274445,-0.831097722053528,-0.594556272029877,-0.805430710315704,0,1,0,18,47.0588226318359,17.6470584869385,33,8,170,8B
10,-0.90794563293457,-0.526018142700195,-2.39734172821045,-0.90414172410965,1,1,0,23,45.4545440673828,4.54545450210571,7,8,206,8B
11,-0.4231016933918,-0.627711355686188,-2.79661655426025,-0.90414172410965,0,1,0,23,36.3636360168457,0,16,8,206,8A
12,-0.389141917228699,0.584468126296997,-1.13218283653259,-0.888210415840149,1,0,0,17,47.0588226318359,5.88235282897949,3,6,268,006B
13,0.283154159784317,-1.00037455558777,0.181769460439682,0.639005601406097,1,1,0,23,50,60,2,4,321,4A
14,-0.817857623100281,-1.07681894302368,-0.966193854808807,-0.286585658788681,0,0,0,18,76.470588684082,0,31,6,432,6B
15,-1.75023925304413,-1.07681894302368,-0.797438442707062,-0.544424831867218,1,1,0,20,57.8947372436523,0,3,6,432,6A
16,-0.763893365859985,-0.295036762952805,-1.13218283653259,-0.716317594051361,1,1,0,20,57.8947372436523,0,3,6,432,6A
17,0.5972039103508,1.07308197021484,0.630066275596619,0.400985449552536,0,0,0,18,76.470588684082,0,31,6,432,6B
18,-0.551034569740295,-0.00186845927964896,-1.18474590778351,-0.0287464894354343,0,0,0,18,82.3529434204102,0,31,6,432,6B
19,-1.40246987342834,0.291299849748611,-1.13218283653259,-0.0287464894354343,1,1,0,20,63.1578941345215,0,3,6,432,6A
20,-1.33877205848694,-2.08454561233521,-1.6897531747818,0.415144234895706,1,0,0,19,50,0,28,4,436,4A
21,2.38401889801025,0.48674538731575,0.931612849235535,1.08855652809143,1,0,1,24,50,33.3333320617676,3,6,635,D6
22,0.153498202562332,0.0958543047308922,0.505574584007263,0.229092687368393,1,1,1,19,70,0,2,6,652,6B
23,-0.450980842113495,0.675162613391876,-0.394752204418182,-0.107199005782604,1,0,0,19,43.75,100,4,4,1017,4A
24,-1.28470778465271,0.675162613391876,-0.806139528751373,-0.331060379743576,1,0,0,20,55,94.4444427490234,25,4,1017,4B
25,-0.0810678526759148,-1.09893548488617,-0.0557922311127186,-0.480301320552826,1,1,0,21,57.8947372436523,93.75,10,4,1027,4 A
26,0.00145119708031416,0.182357579469681,-0.177470177412033,0.639005601406097,1,1,0,22,52.6315803527832,89.4736862182617,30,4,1027,4 B
27,0.771088600158691,1.07308197021484,0.284256041049957,1.08855652809143,1,1,0,23,52.1739120483398,90.9090881347656,2,6,1095,6B
28,1.20280230045319,0.877636432647705,-0.36310076713562,0.572878241539001,1,1,0,26,40,100,26,6,1095,6A
29,0.183562204241753,-1.09893548488617,-0.394752204418182,-0.480301320552826,1,0,0,23,63.6363639831543,85.7142868041992,18,4,1107,4KU
30,-0.0810678526759148,-0.211886450648308,0.784364938735962,-0.331060379743576,1,1,0,23,39.1304359436035,91.3043441772461,23,4,1107,4BM
31,0.549325466156006,0.389220476150513,-0.809317588806152,-0.0157424360513687,0,0,0,26,44,100,32,8,1205,8B
32,-1.30513417720795,0.287527292966843,-0.64900279045105,0.379101693630219,0,0,0,23,42.8571434020996,95.2380981445312,35,8,1205,8A
33,0.638839721679688,0.280918598175049,0.784364938735962,0.0420419126749039,1,1,0,25,56,92,26,4,1205,4B
34,-0.829430282115936,-1.39461851119995,-0.215132385492325,0.937487483024597,1,1,0,26,56,83.3333358764648,10,4,1205,4A
35,-0.763893365859985,-1.85860097408295,-0.293938726186752,-1.40388870239258,1,0,0,16,46.6666679382324,0,28,6,1217,6A
36,-0.551034569740295,-1.27226448059082,-0.966193854808807,-0.63037121295929,1,1,0,15,35.7142868041992,0,6,6,1217,6B
37,-1.13264882564545,-1.85860097408295,-0.910864233970642,-0.716317594051361,1,1,0,28,40.7407417297363,80.7692337036133,3,6,1325,6MS/IL
38,0.771088600158691,-1.56543266773224,-0.293938726186752,0.229092687368393,1,0,0,30,41.3793106079102,82.1428604125977,27,6,1325,6MM
39,-0.311552107334137,-0.409008473157883,1.21023774147034,0.0420419126749039,1,1,1,26,50,57.1428565979004,10,4,1416,4L
40,-0.0810678526759148,-1.49317955970764,-0.394752204418182,0.639005601406097,1,0,0,21,50,20,25,4,1416,4K
41,-0.19574548304081,0.795993208885193,-0.0228675473481417,0.773945808410645,1,0,0,29,58.6206893920898,72.4137954711914,9,8,1503,8A
